
False negative test rate,Tracing efficiency,N_infected_done,N_recovered,ReffMean,ReffStd,ReffTheoretical,N_traced
0.05,0.0,13672.938,9944.732,1.3719438275837554,0.002971027736052899,1.3703606713001526,0.0
0.05,0.02,13534.774,9922.758,1.3586225701520962,0.0037083612246857313,1.3634726126815244,87.714
0.05,0.04,13316.208,9866.386,1.341215397069365,0.004133656152837183,1.3545016680949695,173.77
0.05,0.06,13330.038,9922.81,1.3382856119965167,0.003579661793482457,1.3451225662376607,264.774
0.05,0.08,13175.95,9869.058,1.3278072849549973,0.0037044367120134514,1.336477548992783,349.594
0.05,0.1,13141.236,9903.506,1.32051266341002,0.003868467892888523,1.3268873358970816,444.226
0.05,0.12000000000000001,12852.196,9770.306,1.3021291615528399,0.004684746524454687,1.3177635570565984,524.226
0.05,0.14,12787.86,9772.928,1.2955651045479675,0.00463404908814541,1.3085548665393307,613.39
0.05,0.16,12671.816,9754.13,1.2864980986245493,0.0043029594689657944,1.2977274614885268,698.124
0.05,0.18,12397.244,9605.308,1.2704360385172069,0.005190043389516273,1.290920596561923,777.786
0.05,0.19999999999999998,12451.392,9713.252,1.266261980489613,0.004825302160560616,1.2801108149226401,873.91
0.05,0.21999999999999997,12424.478,9792.864,1.2583542560727383,0.004090137080768071,1.2721908645144127,974.812
0.05,0.23999999999999996,11946.604,9529.514,1.230166642297703,0.0055592644378947564,1.263302305979628,1036.904
0.05,0.25999999999999995,12059.886,9658.268,1.2320176764307496,0.004705629919583272,1.2537142905450906,1138.702
0.05,0.27999999999999997,11795.996,9553.676,1.2154725981083168,0.004768112309496538,1.2417382864527435,1216.604
0.05,0.3,11642.41,9445.828,1.2068581177940323,0.00560402307406059,1.2313678977932567,1292.208
0.05,0.32,11311.79,9261.462,1.1868537806239254,0.006207970684709713,1.2198735843100001,1359.31
0.05,0.34,10947.968,9070.786,1.1662068575741458,0.006512997115587993,1.2141061477173447,1414.114
0.05,0.36000000000000004,11279.972,9417.49,1.172820837764811,0.005294917214410422,1.1999624954565073,1554.204
0.05,0.38000000000000006,10950.98,9190.606,1.15860813755171,0.005826308058556894,1.1965786879633573,1608.956
0.05,0.4000000000000001,10374.656,8797.06,1.135106104070687,0.006234865172930319,1.1794008553384843,1621.742
0.05,0.4200000000000001,9786.598,8396.146,1.1075334766415612,0.006848127390732584,1.164559628824982,1632.372
0.05,0.4400000000000001,10051.256,8710.18,1.1105283895968205,0.005886015096623722,1.158515692906381,1773.128
0.05,0.46000000000000013,9771.62,8511.906,1.0961912117996957,0.006535739682267252,1.149595316828042,1815.056
0.05,0.48000000000000015,9815.566,8613.012,1.092840476066056,0.006183371902118001,1.139776686269007,1920.278
0.05,0.5000000000000001,9254.826,8171.566,1.079485377008352,0.006036874729430953,1.1264683035474565,1904.028
0.05,0.5200000000000001,8898.406,7961.65,1.0576572544562233,0.006411655220990643,1.1154166195592274,1933.242
0.05,0.5400000000000001,8577.778,7728.29,1.0492319407896529,0.006092041906006031,1.109358702148001,1949.032
0.05,0.5600000000000002,7914.236,7219.776,1.0270783831139916,0.006172003469675021,1.097135896498152,1890.89
0.05,0.5800000000000002,7193.888,6629.886,1.0024423311291228,0.006567283521108681,1.0845185878241654,1801.702
0.05,0.6000000000000002,7264.704,6742.008,1.0031455715795066,0.006160544805830378,1.0696340274083633,1907.414
0.05,0.6200000000000002,6380.374,5993.484,0.9827046464329177,0.005885571464818345,1.0529399318181203,1747.938
0.05,0.6400000000000002,6020.21,5697.538,0.9682458315338802,0.006116157604744461,1.0449473856910252,1722.332
0.05,0.6600000000000003,5533.248,5289.516,0.9551962335335786,0.006186780997240075,1.035896091727127,1650.638
0.05,0.6800000000000003,4831.362,4666.954,0.9428777585883339,0.005782583466952809,1.0191385270760773,1502.16
0.05,0.7000000000000003,4589.05,4468.952,0.9385633256065461,0.005299314644582723,1.0089624983937373,1474.604
0.05,0.7200000000000003,3851.48,3802.888,0.9175980529562189,0.005555958421538485,0.9879477577740643,1289.828
0.05,0.7400000000000003,3632.284,3610.664,0.9147760613165802,0.005240221370487792,0.986486549571193,1263.184
0.05,0.7600000000000003,3108.032,3131.64,0.9054688590397069,0.00497337677292648,0.9694796652827775,1122.856
0.05,0.7800000000000004,2915.8,2955.29,0.8948025755779393,0.005365515873917429,0.9601628107577505,1087.686
0.05,0.8000000000000004,2504.294,2554.526,0.8798387110737774,0.005649742026101507,0.9443795219981628,962.234
0.05,0.8200000000000004,2012.746,2091.57,0.8785427529988264,0.00483591286277585,0.9317813014239971,806.8
0.05,0.8400000000000004,1874.064,1954.684,0.8629888444320927,0.005493926834130195,0.9066496203297824,768.26
0.05,0.8600000000000004,1706.276,1797.216,0.8627904958184891,0.005112154628077994,0.9050813254516422,719.65
0.05,0.8800000000000004,1498.526,1588.228,0.8612309058051504,0.004971783177982386,0.8874354205319281,647.01
0.05,0.9000000000000005,1252.844,1350.316,0.851509971847687,0.004881372438858836,0.8712046489782294,559.99
0.05,0.9200000000000005,1182.828,1281.51,0.8463368351363465,0.004898391323318228,0.8656931983728012,546.258
0.05,0.9400000000000005,1099.97,1199.028,0.8338982572610584,0.005320811974068524,0.8646687172348593,518.41
0.05,0.9600000000000005,1039.92,1139.92,0.8370190445893199,0.005101932707068171,0.8574374476332512,498.74
0.05,0.9800000000000005,930.862,1030.862,0.8281243798696835,0.005181508195492381,0.8156149206973833,462.306
0.05,1.0000000000000004,886.818,986.818,0.8287600970283215,0.0051113748427408035,0.824187976708466,444.576
